Province/State,Country/Region,Population
Andaman and Nicobar Islands,India,380581
Andhra Pradesh,India,49506799
Arunachal Pradesh,India,1383727
Assam,India,31205576
Bihar,India,104099452
Chandigarh,India,1055450
Chattisgarh,India,25545198
Dadra and Nagar Haveli,India,453229
Daman and Diu,India,326097
Delhi,India,16787941
Goa,India,1458545
Gujarat,India,60439692
Haryana,India,25351462
Himachal Pradesh,India,6864602
Jammu and Kashmir,India,12258433
Jharkhand,India,32988134
Karnataka,India,61095297
Kerala,India,33406061
Ladakh,India,290492
Lakshadweep,India,64473
Madhya Pradesh,India,72626809
Maharashtra,India,112374333
Manipur,India,2855794
Meghalaya,India,2966889
Mizoram,India,1097206
Nagaland,India,1978502
Odisha,India,41974218
Puducherry,India,1247953
Punjab,India,27743338
Rajasthan,India,68548437
Sikkim,India,610577
Tamil Nadu,India,72147030
Telangana,India,35193978
Tripura,India,3673917
Uttar Pradesh,India,199812341
Uttarakhand,India,10086292
West Bengal,India,91276115
