Province/State,Country/Region, Population 
Anhui,China,"62,000,000"
Beijing,China,"21,710,000"
Chongqing,China,"7,990,000"
Fujian,China,"36,894,216"
Gansu,China,"25,575,254"
Guangdong,China,"179,800,000"
Guangxi,China,"48,380,000"
Guizhou,China,"34,750,000"
Hainan,China,"9,171,300"
Hebei,China,"71,854,202"
Heilongjiang,China,"38,312,224"
Henan,China,"94,000,000"
Hubei,China,"58,160,000"
Hunan,China,"65,683,722"
Inner Mongolia,China,"24,710,000"
Jiangsu,China,"80,400,000"
Jiangxi,China,"45,200,000"
Jilin,China,"27,460,000"
Liaoning,China,"43,900,000"
Ningxia,China,"6,300,000"
Qinghai,China,"5,627,000"
Shaanxi,China,"37,330,000"
Shandong,China,"92,480,000"
Shanghai,China,"24,240,000"
Shanxi,China,"36,500,000"
Sichuan,China,"8,100,000"
Tianjin,China,"11,558,000"
Tibet,China,"3,180,000"
Xinjiang,China,"21,810,000"
Yunnan,China,"45,970,000"
Zhejiang,China,"57,370,000"
,Thailand,"69,040,000"
,Japan,"126,800,000"
,South Korea,"51,470,000"
Taiwan,Taiwan,"23,780,000"
"Seattle, WA",Unites States,"724,745"
"Chicago, IL",Unites States,"2,716,000"
"Tempe, AZ",Unites States,"185,038"
Macau,Macau,"622,567"
Hong Kong,Hong Kong,"7,392,000"
,Singapore,"5,612,000"
,Vietnam,"95,540,000"
,France,"69,990,000"
,Nepal,"29,300,000"
,Malaysia,"31,620,000"
"Toronto, ON",Canada,"2,930,000"
British Columbia,Canada,"5,071,000"
"Orange, CA",Unites States,"140,560"
"Los Angeles, CA",Unites States,"4,000,000"
New South Wales,Australia,"7,544,000"
Victoria,Australia,"92,141"
Queensland,Australia,"5,071,000"
,Cambodia,"16,010,000"
,Sri Lanka,"21,440,000"
,Germany,"82,790,000"
,Finland,"5,513,000"
,United Arab Emirates,"9,400,000"
,Philippines,"104,900,000"
,India,"1,339,000,000"
"London, ON",Canada,"404,699"
,Italy,"60,480,000"
,UK,"66,440,000"
,Russia,"144,500,000"
,Sweden,"10,120,000"
"Santa Clara, CA",Unites States,"127,134"
,Spain,"46,660,000"
South Australia,Australia,"1,677,000"
"Boston, MA",Unites States,"685,094"
"San Benito, CA",Unites States,"60,310"
,Belgium,"11,400,000"
"Madison, WI",Unites States,"255,214"
Diamond Princess cruise ship,Others,"3,700"
"San Diego County, CA",Unites States,"3,338,000"
"San Antonio, TX",Unites States,"1,493,000"
NaN,Egypt,"97,550,000"
NaN,Iran,"81,160,000"
"Omaha, NE (From Diamond Princess)",Unites States,"466,893"
"Travis, CA (From Diamond Princess)",Unites States,"1,227,000"
From Diamond Princess,Australia,"24,600,000"
"Lackland, TX (From Diamond Princess)",Unites States,"6,540"
From Diamond Princess,Israel,"8,712,000"
NaN,Lebanon,"6,082,000"
"Humboldt County, CA",Unites States,"136,754"
"Sacramento County, CA",Unites States,"1,531,000"
NaN,Iraq,"38,270,000"
Unassigned Location (From Diamond Princess),Unites States,"350,000,000"
NaN,Oman,"4,636,000"
NaN,Afghanistan,"35,530,000"
NaN,Bahrain,"1,493,000"
NaN,Kuwait,"4,137,000"
NaN,Algeria,"41,320,000"
NaN,Croatia,"4,076,000"
NaN,Switzerland,"8,570,000"
NaN,Austria,"8,822,000"
NaN,Israel,"8,712,000"
NaN,Pakistan,"197,000,000"
NaN,Brazil,"209,300,000"
NaN,Georgia,"10,520,000"
NaN,Greece,"10,740,000"
NaN,North Macedonia,"2,077,000"
NaN,Norway,"5,357,000"
NaN,Romania,"19,530,000"
