,date,Afghanistan_nan,Algeria_nan,Australia_From Diamond Princess,Australia_New South Wales,Australia_Queensland,Australia_South Australia,Australia_Victoria,Australia_Western Australia,Austria_nan,Bahrain_nan,Belarus_nan,Belgium_nan,Brazil_nan,Cambodia_nan,"Canada_ Montreal, QC",Canada_British Columbia,"Canada_London, ON","Canada_Toronto, ON",China_Anhui,China_Beijing,China_Chongqing,China_Fujian,China_Gansu,China_Guangdong,China_Guangxi,China_Guizhou,China_Hainan,China_Hebei,China_Heilongjiang,China_Henan,China_Hubei,China_Hunan,China_Inner Mongolia,China_Jiangsu,China_Jiangxi,China_Jilin,China_Liaoning,China_Ningxia,China_Qinghai,China_Shaanxi,China_Shandong,China_Shanghai,China_Shanxi,China_Sichuan,China_Tianjin,China_Tibet,China_Xinjiang,China_Yunnan,China_Zhejiang,Croatia_nan,Denmark_nan,Egypt_nan,Estonia_nan,Finland_nan,France_nan,Georgia_nan,Germany_nan,Greece_nan,Hong Kong_Hong Kong,Iceland_nan,India_nan,Iran_nan,Iraq_nan,Ireland_nan,Israel_nan,Italy_nan,Japan_nan,Kuwait_nan,Lebanon_nan,Lithuania_nan,Luxembourg_nan,Macau_Macau,Malaysia_nan,Mexico_nan,Monaco_nan,Nepal_nan,Netherlands_nan,New Zealand_nan,Nigeria_nan,North Macedonia_nan,Norway_nan,Oman_nan,Others_Diamond Princess cruise ship,Pakistan_nan,Philippines_nan,Qatar_nan,Romania_nan,Russia_nan,San Marino_nan,Singapore_nan,South Korea_nan,Spain_nan,Sri Lanka_nan,Sweden_nan,Switzerland_nan,Taiwan_Taiwan,Thailand_nan,UK_nan,United Arab Emirates_nan,"Unites States_Boston, MA","Unites States_Chicago, IL","Unites States_Humboldt County, CA","Unites States_Lackland, TX (From Diamond Princess)","Unites States_Los Angeles, CA","Unites States_Madison, WI","Unites States_Omaha, NE (From Diamond Princess)","Unites States_Orange, CA","Unites States_Portland, OR","Unites States_Sacramento County, CA","Unites States_San Antonio, TX","Unites States_San Benito, CA","Unites States_San Diego County, CA","Unites States_Santa Clara, CA","Unites States_Seattle, WA","Unites States_Snohomish County, WA","Unites States_Tempe, AZ","Unites States_Travis, CA (From Diamond Princess)",Unites States_Unassigned Location (From Diamond Princess),Vietnam_nan
0,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,6,1,0,26,2,1,4,1,0,5,444,4,0,1,2,0,2,1,0,0,2,9,1,5,4,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,22,9,5,2,32,5,3,5,1,2,5,444,9,0,5,7,1,3,1,0,3,6,16,1,8,4,0,2,2,27,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
2,2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,36,27,10,2,53,23,3,8,2,4,9,549,24,1,9,18,3,4,2,0,5,15,20,1,15,8,0,2,5,43,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,3,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
3,2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,41,57,18,4,78,23,4,19,8,9,32,761,43,7,18,18,4,17,3,1,15,27,33,6,28,10,0,3,11,62,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,3,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
4,2020-01-26,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,60,68,75,35,7,111,36,5,22,13,15,83,1058,69,7,33,36,4,21,4,1,22,46,40,9,44,14,0,4,16,104,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,4,0,0,0,0,5,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,4,8,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,2
5,2020-01-27,0,0,0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,1,70,80,110,59,14,151,46,7,33,18,21,128,1423,100,11,47,72,6,27,7,6,35,75,53,13,69,23,0,5,26,128,0,0,0,0,0,3,0,1,0,8,0,0,0,0,0,0,0,4,0,0,0,0,6,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,1,0,0,5,8,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,2
6,2020-01-28,0,0,0,4,0,0,1,0,0,0,0,0,0,1,0,1,0,1,106,91,132,80,19,207,51,9,40,33,33,168,3554,143,15,70,109,8,34,11,6,46,95,66,27,90,24,0,10,44,173,0,0,0,0,0,4,0,4,0,8,0,0,0,0,0,0,0,7,0,0,0,0,7,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,1,0,0,8,14,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,2
7,2020-01-29,0,0,0,4,1,0,1,0,0,0,0,0,0,1,0,1,0,1,152,111,147,84,24,277,58,9,43,48,38,206,3554,221,16,99,109,9,39,12,6,56,130,96,27,108,27,0,13,55,296,0,0,0,0,1,5,0,4,0,10,0,0,0,0,0,0,0,7,0,0,0,0,7,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,1,0,0,8,14,0,4,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,2
8,2020-01-30,0,0,0,4,3,0,2,0,0,0,0,0,0,1,0,1,0,1,200,114,182,101,26,354,78,12,46,65,44,278,4903,277,19,129,162,14,41,17,8,63,158,112,35,142,31,1,14,70,428,0,0,0,0,1,5,0,4,0,10,0,1,0,0,0,0,0,11,0,0,0,0,7,8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,10,4,0,1,0,0,9,14,0,4,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,2
9,2020-01-31,0,0,0,4,2,0,3,0,0,0,0,0,0,1,0,1,1,2,237,139,211,120,29,436,87,29,52,82,59,352,5806,332,20,168,240,14,48,21,8,87,184,135,39,177,32,1,17,83,538,0,0,0,0,1,5,0,5,0,12,0,1,0,0,0,0,2,15,0,0,0,0,7,8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,13,11,0,1,1,0,10,19,2,4,0,2,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,2
