date,region,min,max
27/02/2020,Afghanistan_nan,6.5,15.2
28/02/2020,Afghanistan_nan,3.8,10.8
29/02/2020,Afghanistan_nan,4.6,12.2
01/03/2020,Afghanistan_nan,5.4,13.8
02/03/2020,Afghanistan_nan,6,15.1
03/03/2020,Afghanistan_nan,6.8,15.6
04/03/2020,Afghanistan_nan,3.2,10
05/03/2020,Afghanistan_nan,2.1,9.1
06/03/2020,Afghanistan_nan,2.7,10.2
07/03/2020,Afghanistan_nan,3.5,13
08/03/2020,Afghanistan_nan,5,14.8
09/03/2020,Afghanistan_nan,1.3,5.3
10/03/2020,Afghanistan_nan,2.3,10.4
11/03/2020,Afghanistan_nan,3.9,14.3
12/03/2020,Afghanistan_nan,5.4,14.6
13/03/2020,Afghanistan_nan,6.8,16.8
27/02/2020,Algeria_nan,14.8,26.1
28/02/2020,Algeria_nan,15,27
29/02/2020,Algeria_nan,14.9,27.7
01/03/2020,Algeria_nan,17.3,28.4
02/03/2020,Algeria_nan,18,28.8
03/03/2020,Algeria_nan,18.7,27.9
04/03/2020,Algeria_nan,16.5,26.9
05/03/2020,Algeria_nan,17,29.7
06/03/2020,Algeria_nan,17.9,31.6
07/03/2020,Algeria_nan,10.8,21.7
08/03/2020,Algeria_nan,9.5,21.1
09/03/2020,Algeria_nan,11,23.7
10/03/2020,Algeria_nan,12.3,23.1
11/03/2020,Algeria_nan,13.8,24.8
12/03/2020,Algeria_nan,15.5,26.9
13/03/2020,Algeria_nan,17.3,28.1
27/02/2020,Australia_From Diamond Princess,5.5,10.5
28/02/2020,Australia_From Diamond Princess,4.5,9.9
29/02/2020,Australia_From Diamond Princess,6.2,13.3
01/03/2020,Australia_From Diamond Princess,8.9,15.5
02/03/2020,Australia_From Diamond Princess,8.2,12.3
03/03/2020,Australia_From Diamond Princess,9.3,14.8
04/03/2020,Australia_From Diamond Princess,10.6,16.5
05/03/2020,Australia_From Diamond Princess,7.2,13.2
06/03/2020,Australia_From Diamond Princess,5.5,11.8
07/03/2020,Australia_From Diamond Princess,6.9,13.8
08/03/2020,Australia_From Diamond Princess,9.1,15.6
09/03/2020,Australia_From Diamond Princess,8.8,17.5
10/03/2020,Australia_From Diamond Princess,0.3,8.8
11/03/2020,Australia_From Diamond Princess,0.5,5.1
12/03/2020,Australia_From Diamond Princess,5.1,11.5
13/03/2020,Australia_From Diamond Princess,7.5,12.9
18/02/2020,Australia_New South Wales,20,29.6
19/02/2020,Australia_New South Wales,19.6,29.2
20/02/2020,Australia_New South Wales,18,21.5
21/02/2020,Australia_New South Wales,18.8,23.3
22/02/2020,Australia_New South Wales,19.1,22.9
23/02/2020,Australia_New South Wales,19,24.8
24/02/2020,Australia_New South Wales,17.8,24.9
25/02/2020,Australia_New South Wales,18.3,26.2
26/02/2020,Australia_New South Wales,19.8,32.4
27/02/2020,Australia_New South Wales,20.7,27.6
27/02/2020,Australia_New South Wales,19.8,23
28/02/2020,Australia_New South Wales,20.2,27.4
28/02/2020,Australia_New South Wales,16.7,23.4
